replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Bellman Errors 1 Mean,trainer/Bellman Errors 1 Std,trainer/Bellman Errors 1 Max,trainer/Bellman Errors 1 Min,trainer/Bellman Errors 2 Mean,trainer/Bellman Errors 2 Std,trainer/Bellman Errors 2 Max,trainer/Bellman Errors 2 Min,trainer/Policy Action Mean,trainer/Policy Action Std,trainer/Policy Action Max,trainer/Policy Action Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
496000,4.5154724,5.5132723,-300.2038,298.11258,64.4259,357.20935,-6.914639,298.07867,64.4184,358.26035,-4.794961,297.7751,63.849266,356.6848,1.9715855,4.5154724,10.2435665,78.96499,1.3077864e-05,5.513272,18.97253,166.22408,1.3411045e-05,0.17709821,0.79905534,1.0,-1.0,496000,1729,1000.0,0.0,1000,1000,3.497064067452958,0.5383090441159668,4.569701468322448,0.6752040620391305,3497.064067452958,0.0,3497.064067452958,3497.064067452958,0.1435470822039472,0.7054855702628549,1.0,-1.0,1,3497.064067452958,2396770,7532,1000.0,0.0,1000,1000,3.5612250557779195,0.5468707287299241,4.623547801358588,0.649578833752982,3561.2250557779203,11.145631736071218,3580.151128898922,3548.2080947097547,0.16235553,0.7157475,1.0,-0.99999994,5,3561.2250557779203,0.004820632000701153,2.1815081760014436,0.4951032810004108,0.015659275999496458,0.0069906680000713095,5.712322797000525,8.416404830002648,4209.71866562702,494
497000,3.0930986,3.3605032,-301.0146,300.08084,62.164177,357.49207,-25.518265,300.37964,62.127396,359.3058,-27.497152,299.8015,62.02439,357.26453,-26.312475,3.0930986,6.6644135,55.748158,1.7220154e-06,3.3605034,8.308726,85.93751,4.3064356e-06,0.09058789,0.81803244,1.0,-1.0,497000,1730,1000.0,0.0,1000,1000,3.525749123326151,0.5461629375232233,4.429671781991164,0.6562831711945516,3525.749123326149,0.0,3525.749123326149,3525.749123326149,0.12796136009589074,0.6922000468041707,1.0,-1.0,1,3525.749123326149,2401770,7537,1000.0,0.0,1000,1000,3.5801195586039247,0.5691885806297627,4.650220071918848,0.6727447018248739,3580.119558603926,2.126620496067757,3582.2565289501563,3576.87957358908,0.15392196,0.7093318,1.0,-0.99999994,5,3580.119558603926,0.0047468000011576805,2.1738075880002725,0.4905926690007618,0.012858607999078231,0.006875416000184487,5.711848737000764,8.400729818002219,4218.12114792402,495
498000,7.416346,8.057663,-302.55078,301.6443,60.69998,360.57452,-17.295904,302.11267,60.54544,361.71613,-14.272064,300.9964,60.26753,360.29257,-12.616806,7.416346,24.992395,243.90608,0.0004498521,8.057663,18.101627,165.56726,3.7626363e-05,0.10458261,0.7971741,1.0,-1.0,498000,1731,1000.0,0.0,1000,1000,3.5046455099903597,0.5498729726761024,4.4421064977341915,0.6646553092909117,3504.645509990366,0.0,3504.645509990366,3504.645509990366,0.09435900084139487,0.6566682937321234,1.0,-1.0,1,3504.645509990366,2406100,7551,309.2857142857143,436.90852729660674,1000,26,3.4105245442959813,0.7844038037004004,4.503816956558725,0.6448879182323207,1054.8265197715425,1592.669803281548,3577.007973191987,34.88076471519332,0.12866643,0.6764492,1.0,-0.9999997,14,1054.8265197715425,0.004824001000088174,2.1722256560005917,0.47636692299965944,0.012139545999161783,0.006908846000442281,5.620483184000477,8.29294815600042,4226.415888480019,496
499000,13.333326,11.69815,-290.0266,287.33002,70.068405,359.4042,-31.06107,287.82486,70.85164,357.89267,-33.090374,287.3255,70.78381,356.7164,-27.241978,13.333327,112.62868,1748.3419,0.00015503168,11.698149,66.04176,937.5626,9.3587674e-05,0.1917967,0.8066697,1.0,-1.0,499000,1732,1000.0,0.0,1000,1000,3.4931595307823056,0.5403604284640259,4.532479533316587,0.6458743932445026,3493.1595307823045,0.0,3493.1595307823045,3493.1595307823045,0.10984854705053315,0.6717539670349407,1.0,-1.0,1,3493.1595307823045,2411100,7556,1000.0,0.0,1000,1000,3.547394608274185,0.5530179121205129,4.518614851929568,0.6432416132431009,3547.394608274185,4.555718785449143,3553.149294454151,3541.548606547427,0.10281099,0.68810433,1.0,-1.0,5,3547.394608274185,0.0047827409998717485,2.2153841290000855,0.4931208620000689,0.016746352001064224,0.006971987999349949,5.625140117999763,8.362146190000203,4234.779829910019,497
500000,5.050918,4.2059207,-298.69885,297.03293,65.75846,357.11786,-21.956556,297.15347,66.21328,357.93878,-18.538172,297.0508,66.099556,357.0047,-19.288422,5.050918,20.007982,287.15576,0.00013661478,4.205921,10.13858,90.754,8.663628e-05,0.16975296,0.8086904,1.0,-1.0,500000,1733,1000.0,0.0,1000,1000,3.5135221602585363,0.546175540742963,4.576916290864489,0.741837836907587,3513.5221602585366,0.0,3513.5221602585366,3513.5221602585366,0.12323161154537453,0.6694690595179231,1.0,-1.0,1,3513.5221602585366,2416100,7561,1000.0,0.0,1000,1000,3.5792373028826745,0.5609605037559192,4.497621364687485,0.7426935884219008,3579.2373028826732,1.890480600611044,3582.8119769480054,3577.3162314818474,0.12585592,0.67254144,1.0,-1.0,5,3579.2373028826732,0.004838071999984095,2.2197173179993115,0.48540428900014376,0.013017159000810352,0.006888886000524508,5.627528375000111,8.357394099000885,4243.138984849021,498
501000,20.184515,17.902824,-300.42065,299.23734,64.72222,359.65616,-7.973652,298.7883,64.71404,358.0509,-7.098756,298.90988,64.17848,358.6564,-13.074088,20.184517,198.43271,3157.166,5.9604645e-08,17.902826,207.34991,3316.8367,1.9706786e-06,0.19097584,0.7972274,1.0,-1.0,501000,1734,1000.0,0.0,1000,1000,3.4774254982636177,0.5454329634022377,4.518258753028904,0.7280183754001035,3477.42549826362,0.0,3477.42549826362,3477.42549826362,0.12410651770003928,0.681115464905947,1.0,-1.0,1,3477.42549826362,2421100,7566,1000.0,0.0,1000,1000,3.525003924155637,0.5669628816362937,4.650242356226535,0.7393779952261681,3525.003924155636,3.8391996272071873,3530.3344733819863,3520.5101130071816,0.14424449,0.6887413,1.0,-0.9999999,5,3525.003924155636,0.00481864100038365,2.163119913000628,0.47763033299997915,0.01498114199966949,0.00684574500155577,5.7837818219995825,8.451177596001799,4251.591922776025,499
502000,11.476212,24.611563,-298.96814,297.25772,63.99604,358.04993,23.426367,297.24472,63.432602,359.3038,23.623264,296.98773,64.63748,359.41574,3.1166177,11.476212,115.967316,1857.167,7.995311e-05,24.611559,332.8877,5338.1934,1.3188459e-05,0.25946048,0.77242756,1.0,-1.0,502000,1735,1000.0,0.0,1000,1000,3.4827114834076847,0.5552360539434572,4.5220600405744396,0.6662123671510791,3482.7114834076824,0.0,3482.7114834076824,3482.7114834076824,0.14403812995622203,0.6859241866268249,1.0,-1.0,1,3482.7114834076824,2426100,7571,1000.0,0.0,1000,1000,3.5723008709514534,0.5530591417358492,4.60748851858914,0.6716072196501032,3572.3008709514534,5.100103941259837,3577.3026198678103,3562.481939480919,0.12612726,0.66581076,1.0,-0.99999994,5,3572.3008709514534,0.004766149999340996,2.1557650579998153,0.5003080809983658,0.016500917001394555,0.0068850450006721076,5.776249890999679,8.460475141999268,4260.054134936029,500
503000,6.3147984,6.400115,-290.812,286.901,77.584335,359.21243,-16.690544,287.36807,77.31849,359.3593,-14.087498,286.89398,77.30614,357.96307,-15.966176,6.314799,23.157536,315.38416,2.3283064e-06,6.4001145,16.778254,153.7621,1.7929415e-05,0.29335627,0.7852476,1.0,-1.0,503000,1737,500.0,159.0,659,341,3.5359609302892885,0.795938689789913,6.082970725001165,0.832231868436368,1767.9804651446439,513.0745325470411,2281.054997691685,1254.9059325976027,0.15094752945786202,0.7094945647910493,1.0,-1.0,2,1767.9804651446439,2431100,7576,1000.0,0.0,1000,1000,3.571118065520841,0.5416798584115226,4.708746411290918,0.8412998718038112,3571.118065520842,5.391444919022682,3577.732289755179,3562.970253249932,0.17373145,0.6873802,1.0,-0.99999994,5,3571.118065520842,0.004747208999106078,2.173166789998504,0.4910608520003734,0.013054638999165036,0.006801883999287384,5.797089701000004,8.48592107499644,4268.541864332025,501
504000,4.3492713,3.7777252,-300.07007,298.6261,58.693626,360.6114,-22.610886,298.59827,58.930935,359.41467,-23.199314,298.98724,58.60678,359.96588,-22.046724,4.3492713,13.748944,184.44214,3.118906e-05,3.7777252,16.400259,235.56929,5.6661665e-06,0.23745756,0.79008234,1.0,-1.0,504000,1738,1000.0,0.0,1000,1000,3.511687818766924,0.5445112415824854,4.515211056362071,0.8823463973344002,3511.6878187669226,0.0,3511.6878187669226,3511.6878187669226,0.17243937038494475,0.6631102621621066,1.0,-1.0,1,3511.6878187669226,2436100,7581,1000.0,0.0,1000,1000,3.575019816634428,0.5610760796603989,4.649687990222938,0.7826299159490078,3575.019816634426,5.314939008638869,3581.9733758356065,3565.966180176589,0.17235947,0.6651787,1.0,-1.0,5,3575.019816634426,0.004825391000849777,2.1832367070001055,0.48448258900134533,0.015369147000455996,0.006861534999188734,5.834858872000041,8.529634241001986,4277.073308903026,502
505000,4.1985216,3.7659998,-295.19482,293.64032,73.2379,362.2577,-30.398855,293.36597,73.37386,360.61594,-38.15109,293.98352,73.45049,361.91364,-33.81124,4.1985216,16.453133,241.31104,3.3620745e-05,3.7659998,9.508337,105.0894,3.4690835e-05,0.21004345,0.7708569,1.0,-1.0,505000,1741,333.3333333333333,18.51725921644153,359,316,3.6361567777992154,1.0677474865745062,6.574216018484879,0.8784155094026154,1212.0522592664054,53.49224403833165,1283.483692536903,1154.7658909470633,0.13267622037239146,0.7284146285181502,1.0,-1.0,3,1212.0522592664054,2441100,7586,1000.0,0.0,1000,1000,3.5539130560894017,0.5672950215019252,4.819870542935356,0.834846778797123,3553.913056089403,7.185515621584534,3560.451179447548,3541.340360036324,0.12088625,0.6503194,1.0,-1.0,5,3553.913056089403,0.004782850000992767,2.1931838040000002,0.47527571099999477,0.01514573300119082,0.006887505000122474,5.825218863999908,8.520494467002209,4285.595541409032,503
506000,5.9807487,5.8357596,-299.51947,297.73248,60.262085,358.08496,9.637232,297.2447,60.18202,358.00638,8.092537,298.11304,60.488514,359.0398,-3.1776328,5.980749,20.617277,205.20335,7.724762e-05,5.83576,19.54779,180.43193,2.474431e-05,0.17017998,0.7880158,1.0,-1.0,506000,1742,1000.0,0.0,1000,1000,3.498986168904098,0.5484341026737204,4.463497613758827,0.7398111289866545,3498.986168904093,0.0,3498.986168904093,3498.986168904093,0.10263758667459313,0.6357597414096796,1.0,-1.0,1,3498.986168904093,2446100,7591,1000.0,0.0,1000,1000,3.5874174221592345,0.561348536026639,4.610256747875766,0.678142968409767,3587.417422159233,6.64722502520728,3598.637622647992,3578.1786590919546,0.114217676,0.62924045,1.0,-1.0,5,3587.417422159233,0.004757179000080214,2.197317075000683,0.477614817000358,0.016781448999608983,0.006877724999867496,5.787389718001577,8.490737963002175,4294.087910858033,504
507000,6.480138,6.6786213,-292.76666,290.9247,72.32999,355.10428,-45.177765,290.8778,72.74356,355.35147,-47.983875,291.36682,72.577,355.19586,-48.800888,6.480139,25.071592,279.10297,4.1071326e-07,6.6786213,25.668728,322.8365,0.00015351549,0.1557085,0.794512,1.0,-1.0,507000,1743,1000.0,0.0,1000,1000,3.5029597369468846,0.541345306987712,4.4492591167122395,0.8783519163640898,3502.959736946885,0.0,3502.959736946885,3502.959736946885,0.12057187975548161,0.6493472151648537,1.0,-1.0,1,3502.959736946885,2451100,7596,1000.0,0.0,1000,1000,3.5874772027874875,0.559478334061172,4.541453382529419,0.8333430778370473,3587.4772027874874,4.479006854948684,3592.324927003179,3579.2965031086474,0.12758213,0.64601195,1.0,-1.0,5,3587.4772027874874,0.004809391000890173,2.21408008599974,0.4821440299983806,0.013036926999120624,0.006900594000398996,5.818603297000664,8.539574324999194,4302.629247483029,505
508000,10.587141,11.80813,-289.4674,286.32623,78.46745,357.3236,-26.065292,286.4361,78.51873,360.28543,-24.75595,286.0594,78.736534,357.09238,-26.154318,10.587141,65.53081,1021.8507,0.0001180321,11.80813,80.17584,1264.2975,5.820766e-07,0.15288007,0.8024529,1.0,-1.0,508000,1744,1000.0,0.0,1000,1000,3.656939291042329,0.6273621511310458,5.884173620039446,1.0054093149644712,3656.9392910423257,0.0,3656.9392910423257,3656.9392910423257,0.11539780244129785,0.667750636423543,1.0,-1.0,1,3656.9392910423257,2456100,7601,1000.0,0.0,1000,1000,3.592458371242314,0.5428970878358182,4.482555920826784,0.9893506159508059,3592.458371242313,5.284235122186345,3601.895207828414,3587.23844515986,0.08721649,0.6256979,1.0,-1.0,5,3592.458371242313,0.004816039998331689,2.2375711190015863,0.5044378190013958,0.015315143999032443,0.006859773999167373,5.696261454000705,8.465261350000219,4311.09632629403,506
509000,16.291203,13.339007,-289.6773,286.64038,77.056305,359.31656,-25.02802,286.49634,77.16246,357.33817,-26.07578,286.7278,77.42482,359.01794,-41.741184,16.291203,121.11261,1472.9873,7.377006e-06,13.339007,99.406815,1474.1061,2.2230903e-05,0.1669122,0.795424,1.0,-1.0,509000,1747,333.3333333333333,102.45757929775404,428,191,3.53922982994213,0.9772968584944769,6.382016391684617,0.9804888550217452,1179.7432766473767,428.87803654004995,1577.6359547206494,584.355746648661,0.12235843510556446,0.710526943040188,1.0,-1.0,3,1179.7432766473767,2461075,7606,995.0,10.0,1000,975,3.616206955990433,0.5930858780184965,6.816931925327406,0.9330879281819735,3598.1259212104815,21.593095361954134,3640.462303313657,3579.660269740184,0.12729959,0.68231493,1.0,-1.0,5,3598.1259212104815,0.0047957599999790546,2.244176142001379,0.480451996998454,0.014151073999528307,0.00684745299986389,5.6833351460009,8.433757572000104,4319.5317888330255,507
510000,7.5828414,12.462296,-295.18927,293.3817,71.426544,361.85754,-26.734364,293.0526,71.47368,359.95078,-36.111595,292.91452,70.46203,360.97922,-35.415348,7.582841,30.358795,329.75552,2.5663525e-05,12.462296,74.39395,774.62024,2.2664666e-05,0.20314,0.80185896,1.0,-1.0,510000,1748,1000.0,0.0,1000,1000,3.5046354460399507,0.5467225579542306,4.690454432733658,1.0296104043727308,3504.63544603995,0.0,3504.63544603995,3504.63544603995,0.14710815989423448,0.6837863390679675,1.0,-1.0,1,3504.63544603995,2466075,7611,1000.0,0.0,1000,1000,3.588652247686241,0.5636087671930631,4.870146766656143,0.9988435892403998,3588.6522476862424,5.588031106487041,3597.4246236211925,3581.373293064404,0.1679757,0.69031286,1.0,-1.0,5,3588.6522476862424,0.00475588900008006,2.262391417998515,0.47893377099899226,0.015262683000401012,0.006811512999775005,5.668680492999556,8.43683576699732,4327.970418069025,508
