replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Bellman Errors 1 Mean,trainer/Bellman Errors 1 Std,trainer/Bellman Errors 1 Max,trainer/Bellman Errors 1 Min,trainer/Bellman Errors 2 Mean,trainer/Bellman Errors 2 Std,trainer/Bellman Errors 2 Max,trainer/Bellman Errors 2 Min,trainer/Policy Action Mean,trainer/Policy Action Std,trainer/Policy Action Max,trainer/Policy Action Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,exploration/env_infos/final/reward_run Mean,exploration/env_infos/final/reward_run Std,exploration/env_infos/final/reward_run Max,exploration/env_infos/final/reward_run Min,exploration/env_infos/initial/reward_run Mean,exploration/env_infos/initial/reward_run Std,exploration/env_infos/initial/reward_run Max,exploration/env_infos/initial/reward_run Min,exploration/env_infos/reward_run Mean,exploration/env_infos/reward_run Std,exploration/env_infos/reward_run Max,exploration/env_infos/reward_run Min,exploration/env_infos/final/reward_ctrl Mean,exploration/env_infos/final/reward_ctrl Std,exploration/env_infos/final/reward_ctrl Max,exploration/env_infos/final/reward_ctrl Min,exploration/env_infos/initial/reward_ctrl Mean,exploration/env_infos/initial/reward_ctrl Std,exploration/env_infos/initial/reward_ctrl Max,exploration/env_infos/initial/reward_ctrl Min,exploration/env_infos/reward_ctrl Mean,exploration/env_infos/reward_ctrl Std,exploration/env_infos/reward_ctrl Max,exploration/env_infos/reward_ctrl Min,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,evaluation/env_infos/final/reward_run Mean,evaluation/env_infos/final/reward_run Std,evaluation/env_infos/final/reward_run Max,evaluation/env_infos/final/reward_run Min,evaluation/env_infos/initial/reward_run Mean,evaluation/env_infos/initial/reward_run Std,evaluation/env_infos/initial/reward_run Max,evaluation/env_infos/initial/reward_run Min,evaluation/env_infos/reward_run Mean,evaluation/env_infos/reward_run Std,evaluation/env_infos/reward_run Max,evaluation/env_infos/reward_run Min,evaluation/env_infos/final/reward_ctrl Mean,evaluation/env_infos/final/reward_ctrl Std,evaluation/env_infos/final/reward_ctrl Max,evaluation/env_infos/final/reward_ctrl Min,evaluation/env_infos/initial/reward_ctrl Mean,evaluation/env_infos/initial/reward_ctrl Std,evaluation/env_infos/initial/reward_ctrl Max,evaluation/env_infos/initial/reward_ctrl Min,evaluation/env_infos/reward_ctrl Mean,evaluation/env_infos/reward_ctrl Std,evaluation/env_infos/reward_ctrl Max,evaluation/env_infos/reward_ctrl Min,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
605000,0.01569954,0.016006691,63.606205,-63.55597,0.27581763,-60.695553,-65.55041,-63.55677,0.26355585,-61.006004,-65.55518,-63.60761,0.28690657,-60.843777,-65.491104,0.01569954,0.02638741,0.21027113,5.762704e-07,0.016006691,0.027259728,0.21567206,1.4551915e-07,1.0,0.0,1.0,1.0,605000,605,1000.0,0.0,1000,1000,-0.5499943244819814,0.07597934762882479,0.4619091765753982,-0.7838321350089947,-549.9943244819797,0.0,-549.9943244819797,-549.9943244819797,0.9607270071262437,0.05750030860159951,1.0,0.6644885219350277,1,-549.9943244819797,0.035496282837686466,0.0,0.035496282837686466,0.035496282837686466,1.006205464905267,0.0,1.006205464905267,1.006205464905267,0.005787276144636083,0.07192965957339101,1.0298513347131328,-0.22925155503185968,-0.5243447932436546,0.0,-0.5243447932436546,-0.5243447932436546,-0.5487418209858134,0.0,-0.5487418209858134,-0.5487418209858134,-0.5557816006266174,0.026332235621427592,-0.44008730299704074,-0.6000000000000001,3020000,3020,1000.0,0.0,1000,1000,-0.5953063551642529,0.07574482913478431,0.5222882356406526,-1.0241248545935377,-595.3063551642641,0.8540385994306994,-593.8835392575924,-596.5117241518224,1.0,0.0,1.0,1.0,5,-595.3063551642641,0.0,0.0,0.0,0.0,0.9383545737933627,0.08145728848456424,1.0819345384509176,0.8598729172502645,0.0046936448357470855,0.07574482913478431,1.1222882356406527,-0.42412485459353777,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004704414001025725,2.1821666989999358,0.4452432960006263,0.0194778730001417,0.006931257999895024,5.88915036599974,8.547673906001364,5069.585114186992,603
606000,0.016047535,0.015741937,63.70273,-63.604034,0.35663134,-60.763866,-66.35741,-63.608486,0.35937062,-60.740154,-66.432724,-63.60012,0.37861982,-60.808556,-66.53549,0.016047535,0.029435648,0.32250792,3.913883e-07,0.015741937,0.02834394,0.30304492,1.7607817e-07,1.0,0.0,1.0,1.0,606000,606,1000.0,0.0,1000,1000,-0.551510882197538,0.06694319480877377,0.20833618115730113,-0.9028342349332631,-551.5108821975376,0.0,-551.5108821975376,-551.5108821975376,0.9599494037931973,0.059623311392209326,1.0,0.6404197561182883,1,-551.5108821975376,-0.028541402702220997,0.0,-0.028541402702220997,-0.028541402702220997,0.6436246454998091,0.0,0.6436246454998091,0.6436246454998091,0.0035237960650344436,0.06144233255656473,0.7876682791855413,-0.31169665002292957,-0.5701050260187366,0.0,-0.5701050260187366,-0.5701050260187366,-0.540914950067155,0.0,-0.540914950067155,-0.540914950067155,-0.5550346782625725,0.026473971605047518,-0.44766066546752586,-0.6000000000000001,3025000,3025,1000.0,0.0,1000,1000,-0.5964772947073879,0.06629928382853534,0.4650849818528733,-1.0141452639467725,-596.4772947073991,0.8187263087853978,-595.3471010933624,-597.8400384475054,1.0,0.0,1.0,1.0,5,-596.4772947073991,0.0,0.0,0.0,0.0,0.8986917164456301,0.12023190395284257,1.0302959036845711,0.7459645629468488,0.003522705292612123,0.06629928382853534,1.0650849818528734,-0.4141452639467724,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004824985000595916,2.1599062440000125,0.4417671680002968,0.019121946999803185,0.007752339999569813,5.90817617599896,8.541548859999239,5078.129821505991,604
607000,0.011553204,0.011345762,63.59279,-63.626183,0.32459158,-61.290367,-66.48408,-63.61364,0.32512382,-61.3415,-66.53396,-63.610565,0.3381733,-61.49556,-66.45018,0.011553203,0.016046835,0.098830394,1.2238161e-06,0.011345762,0.016236052,0.10707852,3.274181e-09,1.0,0.0,1.0,1.0,607000,607,1000.0,0.0,1000,1000,-0.5486514766998574,0.08459536180454734,0.4508102656075379,-0.8562686769253083,-548.651476699857,0.0,-548.651476699857,-548.651476699857,0.9605963804625057,0.05771456359014986,1.0,0.6938471495836839,1,-548.651476699857,0.0024416615008726605,0.0,0.0024416615008726605,0.0024416615008726605,0.9444342018447862,0.0,0.9444342018447862,0.9444342018447862,0.006994349504983893,0.08077338687684454,1.0188398198611326,-0.3025185890344062,-0.5879178141949511,0.0,-0.5879178141949511,-0.5879178141949511,-0.5460773636974625,0.0,-0.5460773636974625,-0.5460773636974625,-0.5556458262048412,0.025540523817097815,-0.45463581704931155,-0.6000000000000001,3030000,3030,1000.0,0.0,1000,1000,-0.5955160175973091,0.07574070837164684,0.9496210830644067,-1.0482170316584378,-595.5160175973202,1.693312517026136,-593.5020096928455,-598.5195544190149,1.0,0.0,1.0,1.0,5,-595.5160175973202,0.0,0.0,0.0,0.0,0.9278674488906796,0.12625345220178852,1.052237322124449,0.7166305202256302,0.00448398240269086,0.07574070837164684,1.5496210830644068,-0.44821703165843774,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004746933998831082,2.168360568000935,0.4372270040003059,0.014652558000307181,0.006912267001098371,5.7907441219995235,8.422643453001001,5086.555601257991,605
608000,0.015763085,0.015305938,63.670677,-63.574097,0.42728195,-59.297672,-66.17862,-63.569595,0.42789513,-59.25386,-66.17254,-63.592094,0.4311852,-58.98716,-66.032005,0.015763087,0.05207379,0.77340186,2.2133463e-08,0.01530594,0.046242278,0.6670238,3.913883e-07,1.0,0.0,1.0,1.0,608000,608,1000.0,0.0,1000,1000,-0.549986069787362,0.08235957248067,0.3183007550988266,-0.9757829151167353,-549.9860697873617,0.0,-549.9860697873617,-549.9860697873617,0.9608001227822772,0.05875570293874741,1.0,0.6354013268064145,1,-549.9860697873617,0.005739837024603123,0.0,0.005739837024603123,0.005739837024603123,0.7699965311493024,0.0,0.7699965311493024,0.7699965311493024,0.0059673953523973495,0.07873996079035107,0.8866113608193095,-0.3902467776777868,-0.5346628583140929,0.0,-0.5346628583140929,-0.5346628583140929,-0.5282781758226721,0.0,-0.5282781758226721,-0.5282781758226721,-0.5559534651397594,0.02623056040070929,-0.45292458487442266,-0.6000000000000001,3035000,3035,1000.0,0.0,1000,1000,-0.5957322903266966,0.07438462183106834,1.0627355785925434,-1.086553373680994,-595.7322903267079,1.5210540945095603,-593.9260324921456,-597.4880820020916,1.0,0.0,1.0,1.0,5,-595.7322903267079,0.0,0.0,0.0,0.0,0.9183290789770014,0.2259447089944473,1.3027980935416623,0.6412207072780948,0.004267709673303356,0.07438462183106834,1.6627355785925435,-0.48655337368099394,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004685403000621591,2.1872262349988887,0.4359960219990171,0.018936405000204104,0.006949767999685719,5.8951705819999916,8.548964414998409,5095.107727241988,606
609000,0.016733676,0.015232619,63.69782,-63.50981,0.25315997,-61.294167,-66.50468,-63.521645,0.2533237,-61.310863,-66.53825,-63.58095,0.25994802,-61.222992,-66.209236,0.016733676,0.030664995,0.29262775,2.446177e-08,0.015232618,0.029411033,0.28642488,6.4173946e-09,1.0,0.0,1.0,1.0,609000,609,1000.0,0.0,1000,1000,-0.5505932392677156,0.07334018981617649,0.20216844640232012,-0.8758877163629563,-550.5932392677155,0.0,-550.5932392677155,-550.5932392677155,0.9602856143005319,0.057744716297628694,1.0,0.672982990639075,1,-550.5932392677155,-0.014614018075256308,0.0,-0.014614018075256308,-0.014614018075256308,0.69502246420357,0.0,0.69502246420357,0.69502246420357,0.004696508707990671,0.06924302400067572,0.7584938011767683,-0.32699914074829806,-0.5503771052169286,0.0,-0.5503771052169286,-0.5503771052169286,-0.5389188986239832,0.0,-0.5389188986239832,-0.5389188986239832,-0.5552897479757063,0.025223860987878828,-0.44863221343964493,-0.6000000000000001,3040000,3040,1000.0,0.0,1000,1000,-0.5956195021542642,0.07460636262905215,0.4778121890448588,-1.0221071914825837,-595.6195021542756,0.9970526370507808,-594.8034512533256,-597.4642794546,1.0,0.0,1.0,1.0,5,-595.6195021542756,0.0,0.0,0.0,0.0,0.951628383093697,0.034766129675325136,0.9861598512814531,0.8999758526796794,0.004380497845735732,0.07460636262905215,1.0778121890448589,-0.4221071914825836,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004765133999171667,2.162725677000708,0.44512919099906867,0.01926559899948188,0.00691558700054884,5.852761567999551,8.49156275599853,5103.602425155988,607
610000,0.07250002,0.07457593,63.57427,-63.533524,0.29455194,-61.531147,-65.45342,-63.53026,0.2936178,-61.51709,-65.484535,-63.586975,0.3340364,-60.73382,-65.41852,0.07250002,0.43175378,5.113957,1.4165416e-06,0.07457594,0.4506951,5.398447,1.3133103e-07,1.0,0.0,1.0,1.0,610000,610,1000.0,0.0,1000,1000,-0.5484054355350885,0.0907751150570447,0.49517946966784077,-0.9864502381262414,-548.4054355350889,0.0,-548.4054355350889,-548.4054355350889,0.9597787051241894,0.05852356494000838,1.0,0.6355729050511243,1,-548.4054355350889,0.019848796957774306,0.0,0.019848796957774306,0.019848796957774306,0.9746156098420625,0.0,0.9746156098420625,0.9746156098420625,0.006354666742803421,0.08812721274348391,1.0489594942105396,-0.4359549054894818,-0.5711097918085344,0.0,-0.5711097918085344,-0.5711097918085344,-0.5802276818426376,0.0,-0.5802276818426376,-0.5802276818426376,-0.5547601022778919,0.02605318834328707,-0.46648621474531904,-0.6000000000000001,3045000,3045,1000.0,0.0,1000,1000,-0.5960049000448072,0.07125342409718466,1.0549084811278464,-1.019186191328442,-596.0049000448183,1.2130829610046947,-594.4204074476737,-597.6070744850128,1.0,0.0,1.0,1.0,5,-596.0049000448183,0.0,0.0,0.0,0.0,0.8617628848902317,0.22889621127254034,1.300483049643282,0.6668869179096267,0.003995099955192738,0.07125342409718467,1.6549084811278465,-0.4191861913284417,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.00471053300134372,2.17779379500098,0.44557923399952415,0.018101900999681675,0.006936717001735815,5.894656833999761,8.547779014003027,5112.153322558992,608
611000,0.015132854,0.015131861,63.52962,-63.581547,0.36551228,-61.558834,-66.35949,-63.55943,0.3644638,-61.5643,-66.34808,-63.57576,0.40330887,-61.12123,-66.34836,0.015132855,0.034627065,0.3591198,3.934838e-08,0.01513186,0.033366393,0.35027322,7.543713e-08,1.0,0.0,1.0,1.0,611000,611,1000.0,0.0,1000,1000,-0.5489377901866139,0.08318714022572354,0.4669856849713444,-0.9705046470473685,-548.9377901866137,0.0,-548.9377901866137,-548.9377901866137,0.9589419759557631,0.059995703294728614,1.0,0.5812494937766604,1,-548.9377901866137,-0.03416074669796987,0.0,-0.03416074669796987,-0.03416074669796987,0.9905928580803083,0.0,0.9905928580803083,0.9905928580803083,0.004963728411649415,0.07847777655653883,1.0292120630404238,-0.41051136554152157,-0.5762609468826326,0.0,-0.5762609468826326,-0.5762609468826326,-0.5679077950372111,0.0,-0.5679077950372111,-0.5679077950372111,-0.5539015185982634,0.02649082308819068,-0.4467775752520458,-0.6000000000000001,3050000,3050,1000.0,0.0,1000,1000,-0.595519166629896,0.07613473635520424,0.6045365585071976,-1.0532034930249596,-595.5191666299072,1.5898866446783977,-593.3382615606384,-598.0817772072,1.0,0.0,1.0,1.0,5,-595.5191666299072,0.0,0.0,0.0,0.0,0.8985404852612356,0.15455842979456105,1.0751078283330266,0.6509164952913828,0.004480833370104001,0.07613473635520424,1.2045365585071977,-0.45320349302495955,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.00468529300087539,2.144983669000794,0.44316152299870737,0.016364544000680326,0.006932997999683721,5.824786256000152,8.440914283000893,5120.597338840989,609
612000,0.025821242,0.025889548,63.74924,-63.632607,0.486572,-61.095894,-66.54223,-63.63456,0.4841305,-61.10635,-66.576836,-63.626347,0.50319815,-60.16681,-66.73474,0.025821242,0.106850274,1.4541814,2.4972542e-07,0.025889548,0.1005988,1.3085899,7.043127e-07,1.0,0.0,1.0,1.0,612000,612,1000.0,0.0,1000,1000,-0.5508165503636228,0.07638189375220794,0.5872641932287053,-0.9137401217938576,-550.8165503636219,0.0,-550.8165503636219,-550.8165503636219,0.9600967519600628,0.0586894353074933,1.0,0.6273049444724141,1,-550.8165503636219,0.03817606724299205,0.0,0.03817606724299205,0.03817606724299205,1.018811828479707,0.0,1.018811828479707,1.018811828479707,0.004321583400962167,0.07172979831372812,1.1091756607370489,-0.34603139023102025,-0.5985297423278924,0.0,-0.5985297423278924,-0.5985297423278924,-0.5402772090635563,0.0,-0.5402772090635563,-0.5402772090635563,-0.555138133764585,0.026477027392843175,-0.4409045935620566,-0.6000000000000001,3055000,3055,1000.0,0.0,1000,1000,-0.5954879811530754,0.07464525131965766,0.6039807232173577,-1.0378453236695435,-595.4879811530866,1.4224235423673124,-592.7914542295031,-597.0108451447644,1.0,0.0,1.0,1.0,5,-595.4879811530866,0.0,0.0,0.0,0.0,0.9939876874914957,0.1441134813279155,1.1442247560464116,0.7212910042384854,0.004512018846924509,0.07464525131965766,1.2039807232173578,-0.43784532366954343,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.0046138620000419905,2.160078787999737,0.4373641599995608,0.017233997999937856,0.006964047999645118,5.880851284000528,8.50710613999945,5129.107568847989,610
613000,0.02650275,0.026191443,63.617424,-63.56388,0.3925848,-61.464233,-66.55475,-63.563683,0.39700478,-61.45615,-66.56268,-63.60167,0.4382127,-61.176796,-66.448425,0.02650275,0.13007966,2.0473673,2.8930663e-07,0.026191443,0.12148464,1.9081529,1.6350532e-07,1.0,0.0,1.0,1.0,613000,613,1000.0,0.0,1000,1000,-0.5512273791240709,0.08484317461423108,0.9282393958200597,-0.9412556442415093,-551.2273791240711,0.0,-551.2273791240711,-551.2273791240711,0.9612728869985888,0.05814082815187762,1.0,0.6467632473254248,1,-551.2273791240711,-0.060949198479124944,0.0,-0.060949198479124944,-0.060949198479124944,1.005436353786851,0.0,1.005436353786851,1.005436353786851,0.005228172382001747,0.08158059870342291,1.4730704795330918,-0.36319077939774624,-0.5301037399506577,0.0,-0.5301037399506577,-0.5301037399506577,-0.5819195100173515,0.0,-0.5819195100173515,-0.5819195100173515,-0.5564555515060726,0.026966556430466228,-0.44134381872884704,-0.6000000000000001,3060000,3060,1000.0,0.0,1000,1000,-0.5955732459468033,0.07533134314169887,1.111518248872489,-1.0707569013763558,-595.5732459468143,1.5135342789503263,-593.4457915099438,-597.8815154919241,1.0,0.0,1.0,1.0,5,-595.5732459468143,-1.3877787807814457e-16,2.7755575615628914e-16,0.0,-6.938893903907228e-16,0.9778315197102417,0.18527925512069218,1.3034883715917058,0.8092109324621873,0.004426754053196645,0.07533134314169887,1.7115182488724892,-0.47075690137635573,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004667642999265809,2.1615184349993797,0.44169074300043576,0.015671622999434476,0.006918117000168422,5.809407582999484,8.439874143998168,5137.550614840988,611
614000,0.017788244,0.018314052,63.625736,-63.634384,0.4675285,-61.756516,-66.60773,-63.638496,0.47310686,-61.65207,-66.68508,-63.624287,0.509158,-61.26125,-66.87742,0.017788244,0.042548236,0.5784211,1.2922683e-06,0.01831405,0.046453867,0.6443151,1.6723206e-06,1.0,0.0,1.0,1.0,614000,614,1000.0,0.0,1000,1000,-0.5515594144051682,0.07698839068739566,0.201768970372446,-0.9726152467378324,-551.5594144051681,0.0,-551.5594144051681,-551.5594144051681,0.9604784218629903,0.058644281992332216,1.0,0.6123223344696498,1,-551.5594144051681,0.02532771066904138,0.0,0.02532771066904138,0.02532771066904138,0.6708334051136251,0.0,0.6708334051136251,0.6708334051136251,0.004015355999721642,0.07235282208779192,0.7857943947164675,-0.41300806318050803,-0.5350336131908189,0.0,-0.5350336131908189,-0.5350336131908189,-0.5395127224526597,0.0,-0.5395127224526597,-0.5395127224526597,-0.5555747704048897,0.026580584179877766,-0.44327124596483947,-0.6000000000000001,3065000,3065,1000.0,0.0,1000,1000,-0.5955440530700654,0.07394051639707765,0.5662475334369452,-1.0394199644586573,-595.5440530700768,0.8608385481741733,-594.0327141194178,-596.708780220514,1.0,0.0,1.0,1.0,5,-595.5440530700768,0.0,0.0,0.0,0.0,0.9518399429828623,0.07716273955721444,1.0705589036461705,0.8321504942901314,0.004455946929934486,0.07394051639707765,1.1662475334369453,-0.43941996445865716,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004739653999422444,2.1780181849990186,0.4431998439995368,0.019170128000041586,0.0069380470013129525,5.894012074999409,8.546077932998742,5146.0997479419875,612
615000,0.013985571,0.014990393,63.67418,-63.631557,0.40041286,-60.596863,-66.407684,-63.64183,0.3945787,-60.67131,-66.37354,-63.59993,0.4216229,-60.436577,-66.320366,0.0139855705,0.018657334,0.13991065,1.6973354e-07,0.014990393,0.019579383,0.12554303,0.0,1.0,0.0,1.0,1.0,615000,615,1000.0,0.0,1000,1000,-0.5500727600811233,0.08468279692279956,0.2387306673881361,-0.9599965656319366,-550.0727600811234,0.0,-550.0727600811234,-550.0727600811234,0.960139501222851,0.05908337100110761,1.0,0.6282640056410869,1,-550.0727600811234,-0.011859401573613981,0.0,-0.011859401573613981,-0.011859401573613981,0.69188042015569,0.0,0.69188042015569,0.69188042015569,0.0051424638412684584,0.08111197015596534,0.7831330778682211,-0.4177475833699834,-0.577099208019731,0.0,-0.577099208019731,-0.577099208019731,-0.5782534278760055,0.0,-0.5782534278760055,-0.5782534278760055,-0.5552152239223918,0.026839319576518104,-0.4492715861083012,-0.6000000000000001,3070000,3070,1000.0,0.0,1000,1000,-0.5966431847134918,0.06435305671113455,0.695956672539003,-0.9780151913264047,-596.643184713503,0.8611166966286156,-595.1497123326652,-597.5737513234989,1.0,0.0,1.0,1.0,5,-596.643184713503,0.0,0.0,0.0,0.0,0.8749144735409077,0.1184887590432964,1.1003595786228326,0.7704701811121891,0.0033568152865081444,0.06435305671113453,1.295956672539003,-0.3780151913264046,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.00468987299973378,2.166223626998544,0.447653179999179,0.01838830500128097,0.0069171169998298865,5.882714388999375,8.526586490997943,5154.629423661985,613
616000,0.021425687,0.021748137,63.67704,-63.587593,0.39155602,-60.976112,-66.30763,-63.583267,0.3878699,-60.860126,-66.24474,-63.624336,0.40790343,-61.120712,-66.49932,0.021425687,0.05759129,0.80402625,9.094947e-09,0.021748137,0.056131992,0.7704926,8.185452e-08,1.0,0.0,1.0,1.0,616000,616,1000.0,0.0,1000,1000,-0.549128811568557,0.08799238011552044,0.3228668468000614,-0.9411862685157398,-549.1288115685567,0.0,-549.1288115685567,-549.1288115685567,0.9602521981357993,0.057967380601587994,1.0,0.6349893767929783,1,-549.1288115685567,0.01638904498328153,0.0,0.01638904498328153,0.01638904498328153,0.8036536745003225,0.0,0.8036536745003225,0.8036536745003225,0.006137889174509184,0.08429680827161398,0.8932807369632889,-0.3610966861588105,-0.5442986260474191,0.0,-0.5442986260474191,-0.5442986260474191,-0.5651483768645708,0.0,-0.5651483768645708,-0.5651483768645708,-0.5552667007430662,0.025931535010455073,-0.4589122107754413,-0.6000000000000001,3075000,3075,1000.0,0.0,1000,1000,-0.5965408875149837,0.06791986328057521,0.4657033855652819,-1.0286287820647546,-596.5408875149949,1.3789149595320342,-594.8173865677975,-598.2208248704164,1.0,0.0,1.0,1.0,5,-596.5408875149949,0.0,0.0,0.0,0.0,0.8774319990290904,0.12996453608002193,1.0256469316949048,0.6841608143801287,0.003459112485016331,0.06791986328057521,1.065703385565282,-0.4286287820647544,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.004716512999948463,2.169704644999001,0.44044786500126065,0.017114624999521766,0.006904337000378291,5.892898145999425,8.531786130999535,5163.164335070984,614
617000,0.020218326,0.020581458,63.735336,-63.64594,0.46841753,-60.497955,-66.59691,-63.636612,0.46432996,-60.467014,-66.60863,-63.66432,0.5043393,-59.86743,-66.629105,0.020218324,0.039807897,0.39756012,2.0262087e-07,0.020581458,0.039452717,0.3594994,1.0608346e-08,1.0,0.0,1.0,1.0,617000,617,1000.0,0.0,1000,1000,-0.5489748396428398,0.0893251175011274,0.3330542206021623,-0.8679803146944117,-548.9748396428397,0.0,-548.9748396428397,-548.9748396428397,0.9609960262637033,0.057835902068042136,1.0,0.6012924996825151,1,-548.9748396428397,-0.02819270503873761,0.0,-0.02819270503873761,-0.02819270503873761,0.7876893930961437,0.0,0.7876893930961437,0.7876893930961437,0.007140172794751564,0.0860058566062871,0.8593939510318079,-0.3229208669164507,-0.5614315024828489,0.0,-0.5614315024828489,-0.5614315024828489,-0.5889789793176871,0.0,-0.5889789793176871,-0.5889789793176871,-0.5561150124375913,0.02600426706524183,-0.4545888200558437,-0.6000000000000001,3080000,3080,1000.0,0.0,1000,1000,-0.5956959000132568,0.07374637336099192,0.6354808615877738,-1.0389320607326276,-595.695900013268,1.4988893023370777,-593.3014458957383,-597.6635489142711,1.0,0.0,1.0,1.0,5,-595.695900013268,0.0,0.0,0.0,0.0,0.9359994993644152,0.11621283361304838,1.1489928413248875,0.8200623690070485,0.004304099986743199,0.07374637336099192,1.235480861587774,-0.43893206073262747,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,0.0,-0.6000000000000001,-0.6000000000000001,-0.6,1.1102230246251565e-16,-0.6000000000000001,-0.6000000000000001,0.0046916519986552885,2.1915679499998078,0.4391798530014057,0.019775865999690723,0.006905627000378445,5.854150187999039,8.516271135998977,5171.683729124983,615
